Link,Perfil,Perk1,Fuerza,Perk2,Educacion,Perk3,Aguante,Nivel,Total
https://rivalregions.com/#slide/profile/1597107584514956,☺ Bïg Döminįc,999.0,Fuerza,935.0,Educacion,634.0,Aguante,106.0,2674
https://rivalregions.com/#slide/profile/1362829117945562,✠ [KGM] Ares,800.0,Fuerza,923.0,Educacion,641.0,Aguante,107.0,2471
https://rivalregions.com/#slide/profile/2000593859,☠ [R.A.] Pedro Ríos,850.0,Fuerza,892.0,Educacion,600.0,Aguante,104.0,2446
https://rivalregions.com/#slide/profile/2000013963,✠ [KGM] Marcus,800.0,Fuerza,810.0,Educacion,638.0,Aguante,107.0,2355
https://rivalregions.com/#slide/profile/2000096200,[ТUЯKO] Kannito,991.0,Fuerza,600.0,Educacion,600.0,Aguante,105.0,2296
https://rivalregions.com/#slide/profile/2001138767,Dibu Yguazú ⁵ #Eisenmann100,999.0,Fuerza,745.0,Educacion,412.0,Aguante,104.0,2260
https://rivalregions.com/#slide/profile/2000012857,✡ [R.A.] Gallywixs,631.0,Fuerza,999.0,Educacion,450.0,Aguante,102.0,2182
https://rivalregions.com/#slide/profile/2000208311,[.PY] JaqenGer,800.0,Fuerza,738.0,Educacion,538.0,Aguante,101.0,2177
https://rivalregions.com/#slide/profile/1327545781507823,Marcelo,888.0,Fuerza,677.0,Educacion,505.0,Aguante,104.0,2174
https://rivalregions.com/#slide/profile/2000252853,[GPI] Dorian,850.0,Fuerza,577.0,Educacion,500.0,Aguante,104.0,2031
https://rivalregions.com/#slide/profile/2001356760,☮ [FRE] Oresito,650.0,Fuerza,650.0,Educacion,485.0,Aguante,103.0,1888
https://rivalregions.com/#slide/profile/2000419116,❤ [GPI] Seventeen™,700.0,Fuerza,567.0,Educacion,510.0,Aguante,101.0,1878
https://rivalregions.com/#slide/profile/2000074024,☹ [☄️] Melonʲᶦʸᵒᵒⁿ 지윤,609.0,Fuerza,666.0,Educacion,426.0,Aguante,95.0,1796
https://rivalregions.com/#slide/profile/2000416244,[GPI] Cosme Fulanito #SinOro,576.0,Fuerza,630.0,Educacion,450.0,Aguante,99.0,1755
https://rivalregions.com/#slide/profile/2000688404,[AOF] Sr.Burns,836.0,Fuerza,428.0,Educacion,362.0,Aguante,96.0,1722
https://rivalregions.com/#slide/profile/2000038014,[UCR] Franco Perez,750.0,Fuerza,419.0,Educacion,450.0,Aguante,101.0,1720
https://rivalregions.com/#slide/profile/2000320322,[GPI] Rafa Borré,600.0,Fuerza,557.0,Educacion,438.0,Aguante,101.0,1696
https://rivalregions.com/#slide/profile/119676936229523,✠ [R.A.] Manfred el Lechero,535.0,Fuerza,677.0,Educacion,300.0,Aguante,95.0,1607
https://rivalregions.com/#slide/profile/1361725744752424,✡ [R.A.] Gallywixs²,354.0,Fuerza,943.0,Educacion,200.0,Aguante,101.0,1598
https://rivalregions.com/#slide/profile/2001412751,[NAZCA] Yerba Mala #Yguazú999,450.0,Fuerza,544.0,Educacion,450.0,Aguante,96.0,1540
https://rivalregions.com/#slide/profile/1129293444688641,[UCR] Lionel Messi,300.0,Fuerza,805.0,Educacion,335.0,Aguante,99.0,1539
https://rivalregions.com/#slide/profile/2000594695,[R.A.] James Bo,400.0,Fuerza,713.0,Educacion,330.0,Aguante,96.0,1539
https://rivalregions.com/#slide/profile/2000581858,✡ [R.A.] Hell Boy,510.0,Fuerza,572.0,Educacion,302.0,Aguante,96.0,1480
https://rivalregions.com/#slide/profile/10216025421730710,Xider Lannister,570.0,Fuerza,400.0,Educacion,400.0,Aguante,99.0,1469
https://rivalregions.com/#slide/profile/2000815132,☪ [NEW] Yan Hεrεиѕυgε✱,510.0,Fuerza,510.0,Educacion,350.0,Aguante,99.0,1469
https://rivalregions.com/#slide/profile/2001231929,[NAZCA] BLACK LIÓN,711.0,Fuerza,336.0,Educacion,302.0,Aguante,96.0,1445
https://rivalregions.com/#slide/profile/2000592751,[FRE] El Castigador,501.0,Fuerza,421.0,Educacion,421.0,Aguante,93.0,1436
https://rivalregions.com/#slide/profile/2001271149,Rylanor,355.0,Fuerza,635.0,Educacion,348.0,Aguante,96.0,1434
https://rivalregions.com/#slide/profile/2000016271,M.O.N,636.0,Fuerza,360.0,Educacion,330.0,Aguante,100.0,1426
https://rivalregions.com/#slide/profile/1910077100024929,[.PY] REY DE FRANCIA,550.0,Fuerza,369.0,Educacion,400.0,Aguante,97.0,1416
https://rivalregions.com/#slide/profile/2000440356,Rolfi,500.0,Fuerza,460.0,Educacion,356.0,Aguante,94.0,1410
https://rivalregions.com/#slide/profile/1450977415756313,✞ [LBS] Elías,672.0,Fuerza,400.0,Educacion,220.0,Aguante,100.0,1392
https://rivalregions.com/#slide/profile/10217402029088584,Ⓐ Levi Ackerman,640.0,Fuerza,325.0,Educacion,326.0,Aguante,100.0,1391
https://rivalregions.com/#slide/profile/10155147431385745,(VINO) Feche Pe,486.0,Fuerza,462.0,Educacion,311.0,Aguante,96.0,1355
https://rivalregions.com/#slide/profile/593763311809992,✞ [R.A.] Juan Domingo Poweron,448.0,Fuerza,500.0,Educacion,300.0,Aguante,99.0,1347
https://rivalregions.com/#slide/profile/2000432275,[R.A.] Halfdan,570.0,Fuerza,334.0,Educacion,334.0,Aguante,101.0,1339
https://rivalregions.com/#slide/profile/2001263701,☭ [LBS] Skay Islamabad,172.0,Fuerza,886.0,Educacion,171.0,Aguante,99.0,1328
https://rivalregions.com/#slide/profile/2001258818,[NAZCA] HanaSumire,425.0,Fuerza,400.0,Educacion,399.0,Aguante,96.0,1320
https://rivalregions.com/#slide/profile/2137523173999196,[NAZCA] Pablo Rios,300.0,Fuerza,695.0,Educacion,200.0,Aguante,100.0,1295
https://rivalregions.com/#slide/profile/2000598548,[R.A.] Kaladin Stormblessed,300.0,Fuerza,566.0,Educacion,300.0,Aguante,93.0,1259
https://rivalregions.com/#slide/profile/1440177706882447,❤ ✨Königin Urquii Von Fernet ✨,600.0,Fuerza,300.0,Educacion,262.0,Aguante,96.0,1258
https://rivalregions.com/#slide/profile/2000628088,[NAZCA] Yeee ✱;,370.0,Fuerza,460.0,Educacion,313.0,Aguante,95.0,1238
https://rivalregions.com/#slide/profile/1348326199444051,✠ [UCR] Ezequiel,325.0,Fuerza,583.0,Educacion,230.0,Aguante,95.0,1233
https://rivalregions.com/#slide/profile/2001180632,Demetrios,426.0,Fuerza,400.0,Educacion,310.0,Aguante,94.0,1230
https://rivalregions.com/#slide/profile/2000589385,[FIGHT] Eren Jaeger,300.0,Fuerza,570.0,Educacion,245.0,Aguante,98.0,1213
https://rivalregions.com/#slide/profile/10212997399415223,☠ [CONT] Grat Enrique,400.0,Fuerza,403.0,Educacion,316.0,Aguante,93.0,1212
https://rivalregions.com/#slide/profile/2000781131,[ТUЯKO] Juan xd,400.0,Fuerza,354.0,Educacion,315.0,Aguante,96.0,1165
https://rivalregions.com/#slide/profile/569844720931580,✞ Javier Milei,328.0,Fuerza,460.0,Educacion,282.0,Aguante,93.0,1163
https://rivalregions.com/#slide/profile/380326288307521,[NAZCA] Lodensy Hijo de Yerba,377.0,Fuerza,400.0,Educacion,285.0,Aguante,93.0,1155
https://rivalregions.com/#slide/profile/2001186578,[FRA] Nikola Tesla,300.0,Fuerza,512.0,Educacion,252.0,Aguante,91.0,1155
https://rivalregions.com/#slide/profile/517366489587906,[GPI] Hana Song,441.0,Fuerza,300.0,Educacion,299.0,Aguante,95.0,1135
https://rivalregions.com/#slide/profile/2001518736,✡ ------------------------------,215.0,Fuerza,432.0,Educacion,388.0,Aguante,93.0,1128
https://rivalregions.com/#slide/profile/2000153797,[ꞪIDRA] Explorador Radical,289.0,Fuerza,522.0,Educacion,222.0,Aguante,92.0,1125
https://rivalregions.com/#slide/profile/2000838180,Santi ZM,429.0,Fuerza,300.0,Educacion,300.0,Aguante,95.0,1124
https://rivalregions.com/#slide/profile/2000154313,Wine,400.0,Fuerza,426.0,Educacion,200.0,Aguante,92.0,1118
https://rivalregions.com/#slide/profile/2000043854,Santiago DAmario,262.0,Fuerza,500.0,Educacion,250.0,Aguante,91.0,1103
https://rivalregions.com/#slide/profile/1563156261918525,[NAZCA] Siro,180.0,Fuerza,445.0,Educacion,387.0,Aguante,88.0,1100
https://rivalregions.com/#slide/profile/2001485725,[ECIR] FOX,307.0,Fuerza,478.0,Educacion,184.0,Aguante,90.0,1059
https://rivalregions.com/#slide/profile/1761846018009400,[R.A.] Rey Harald,300.0,Fuerza,342.0,Educacion,300.0,Aguante,98.0,1040
https://rivalregions.com/#slide/profile/2000877200,☺ Murray Rothbard,210.0,Fuerza,519.0,Educacion,210.0,Aguante,89.0,1028
https://rivalregions.com/#slide/profile/2001574479,[GPI] ✱; Rei Østberg,416.0,Fuerza,300.0,Educacion,207.0,Aguante,93.0,1016
https://rivalregions.com/#slide/profile/2000967145,DesertFox,322.0,Fuerza,300.0,Educacion,273.0,Aguante,91.0,986
https://rivalregions.com/#slide/profile/2000199680,♫ (VINO)PianoMan,182.0,Fuerza,505.0,Educacion,200.0,Aguante,92.0,979
https://rivalregions.com/#slide/profile/2000660681,[R.A.] Dominator,400.0,Fuerza,250.0,Educacion,215.0,Aguante,90.0,955
https://rivalregions.com/#slide/profile/2001542066,[WORK] Planta Osita,225.0,Fuerza,444.0,Educacion,185.0,Aguante,92.0,946
https://rivalregions.com/#slide/profile/2001542065,[WORK] Celu Chiquito,225.0,Fuerza,444.0,Educacion,185.0,Aguante,92.0,946
https://rivalregions.com/#slide/profile/2000018541,♫ [CONT] YoSoy,186.0,Fuerza,450.0,Educacion,186.0,Aguante,92.0,914
https://rivalregions.com/#slide/profile/2420654569021843,[R.A.] Ezequiel Acosta,107.0,Fuerza,607.0,Educacion,102.0,Aguante,92.0,908
https://rivalregions.com/#slide/profile/2000799309,[☄️] Perl,126.0,Fuerza,555.0,Educacion,126.0,Aguante,85.0,892
https://rivalregions.com/#slide/profile/1724903935030045,[R.A.] qu1ne,229.0,Fuerza,400.0,Educacion,170.0,Aguante,89.0,888
https://rivalregions.com/#slide/profile/2000614280,[ꞪIDRA] Beyer,387.0,Fuerza,200.0,Educacion,210.0,Aguante,89.0,886
https://rivalregions.com/#slide/profile/2000711869,[R.A.] EzeElProAcosta,100.0,Fuerza,586.0,Educacion,104.0,Aguante,91.0,881
https://rivalregions.com/#slide/profile/2001196145,El Gordo Tony,372.0,Fuerza,215.0,Educacion,200.0,Aguante,85.0,872
https://rivalregions.com/#slide/profile/2000063344,Elias,302.0,Fuerza,300.0,Educacion,176.0,Aguante,91.0,869
https://rivalregions.com/#slide/profile/2001441786,Tolya,225.0,Fuerza,410.0,Educacion,130.0,Aguante,92.0,857
https://rivalregions.com/#slide/profile/2001565371,[JKS] Takamura,300.0,Fuerza,300.0,Educacion,170.0,Aguante,86.0,856
